Date,tempmax,solarradiation,Gas_Index
01/01/2013,7,38.9,3.21
01/02/2013,4.1,118.9,3.23300004
01/03/2013,3.1,68.6,3.197999954
01/04/2013,7,125,3.286999941
01/05/2013,7.8,123.8,3.26
01/06/2013,11,118.2,3.26
01/07/2013,8.8,122,3.266000032
01/08/2013,11.1,116.9,3.217999935
01/09/2013,9.2,84.1,3.112999916
01/10/2013,13.1,129.1,3.193000078
01/11/2013,7.8,67,3.326999903
01/12/2013,10.1,66.1,3.33
01/13/2013,12.8,89.4,3.36
01/14/2013,16,35.5,3.372999907
01/15/2013,5.8,35,3.454999924
01/16/2013,6,48.6,3.434999943
01/17/2013,7,56,3.493999958
01/18/2013,4.1,139.6,3.565999985
01/19/2013,12,140.3,3.55
01/20/2013,16,139,3.55
01/21/2013,7.9,132.7,3.55
01/22/2013,0,149.1,3.558000088
01/23/2013,-3,126.5,3.553999901
01/24/2013,-1.9,97.2,3.446000099
01/25/2013,-4,43.9,3.444000006
01/26/2013,1.8,111.1,3.39
01/27/2013,3.1,142.6,3.34
01/28/2013,6.8,86.4,3.289000034
01/29/2013,20.8,119.2,3.226000071
01/30/2013,21,116,3.335000038
01/31/2013,18.1,156.6,3.338999987
02/01/2013,1.9,118.5,3.301000118
02/02/2013,0,115.7,3.32
02/03/2013,1.7,90.6,3.33
02/04/2013,2.9,94.1,3.315000057
02/05/2013,5.8,115,3.398999929
02/06/2013,8.8,163.4,3.417999983
02/07/2013,5,51.9,3.285000086
02/08/2013,6.7,29.1,3.272000074
02/09/2013,5.7,174.8,3.28
02/10/2013,7,132.8,3.27
02/11/2013,12.1,44.6,3.279000044
02/12/2013,14.1,179.6,3.230000019
02/13/2013,8.8,118,3.305999994
02/14/2013,9.1,181,3.163000107
02/15/2013,15,179.5,3.153000116
02/16/2013,4.1,47.6,3.19
02/17/2013,0.9,118.4,3.22
02/18/2013,5.7,196.2,3.24
02/19/2013,8.1,65.9,3.272000074
02/20/2013,4.2,173.8,3.279000044
02/21/2013,4.1,199.1,3.246000051
02/22/2013,1,90.4,3.290999889
02/23/2013,7.9,59.4,3.33
02/24/2013,12,198.4,3.37
02/25/2013,8.8,172.2,3.414000034
02/26/2013,7.9,50.6,3.427000046
02/27/2013,13.9,193.5,3.434000015
02/28/2013,9.1,134.9,3.486000061
03/01/2013,7.8,147.4,3.45600009
03/02/2013,3.1,144.5,3.48
03/03/2013,5.7,146.3,3.5
03/04/2013,7,209.4,3.529000044
03/05/2013,10.7,189.2,3.529000044
03/06/2013,4.1,80.4,3.470000029
03/07/2013,10.7,224.6,3.582000017
03/08/2013,10.7,200.7,3.628999949
03/09/2013,16.7,237.8,3.63
03/10/2013,16.8,243.7,3.64
03/11/2013,15.8,139.5,3.648999929
03/12/2013,15,92.5,3.644999981
03/13/2013,11,170.2,3.680000067
03/14/2013,8.1,243.9,3.812000036
03/15/2013,14.1,180.1,3.871999979
03/16/2013,15,88.2,3.87
03/17/2013,6,96.6,3.88
03/18/2013,4.1,57.7,3.881999969
03/19/2013,15.7,233.5,3.969000101
03/20/2013,11.8,258.7,3.960000038
03/21/2013,6.1,132.9,3.934999943
03/22/2013,9.1,224.4,3.927000046
03/23/2013,12.9,263,3.92
03/24/2013,6.7,91.6,3.91
03/25/2013,3.9,90.9,3.86500001
03/26/2013,9.9,204.1,3.976000071
03/27/2013,10.7,224.8,4.06799984
03/28/2013,9.1,200.5,4.024000168
03/29/2013,13.8,223.1,4.02
03/30/2013,15.8,261.7,4.01
03/31/2013,12.9,69.4,4.01
04/01/2013,18.9,245.3,4.014999866
04/02/2013,10.7,291.8,3.969000101
04/03/2013,11.7,289.3,3.900000095
04/04/2013,10,150,3.947000027
04/05/2013,18.8,274.1,4.125
04/06/2013,13.8,296.5,4.08
04/07/2013,21.8,255.1,4.07
04/08/2013,26,274.2,4.081999779
04/09/2013,28.9,255.9,4.017000198
04/10/2013,32.1,245.6,4.085000038
04/11/2013,29.1,258.4,4.138999939
04/12/2013,23.1,191.1,4.222000122
04/13/2013,21,287.1,4.18
04/14/2013,20,293.7,4.17
04/15/2013,17,248.7,4.137000084
04/16/2013,23.1,253.5,4.159999847
04/17/2013,26.7,239.5,4.214000225
04/18/2013,25,235.6,4.401000023
04/19/2013,25.1,150.3,4.407999992
04/20/2013,16,264.6,4.34
04/21/2013,13.1,274.4,4.31
04/22/2013,13.1,295.2,4.267000198
04/23/2013,16.9,234.3,4.237999916
04/24/2013,25.8,301,4.165999889
04/25/2013,18.9,328.8,4.166999817
04/26/2013,20,320.5,4.151000023
04/27/2013,22.7,320.7,4.24
04/28/2013,19.9,179.2,4.29
04/29/2013,16.7,61.5,4.392000198
04/30/2013,16.6,157.5,4.342999935
05/01/2013,20.9,333,4.326000214
05/02/2013,19.1,314.1,4.025000095
05/03/2013,19,326.9,4.040999889
05/04/2013,19.8,297.7,4.03
05/05/2013,16.9,271.2,4.02
05/06/2013,17.8,185.4,4.011000156
05/07/2013,18,156.8,3.920000076
05/08/2013,21.9,227.9,3.977999926
05/09/2013,23,265.6,3.98300004
05/10/2013,27.2,281.8,3.910000086
05/11/2013,25.8,210.8,3.94
05/12/2013,19,344.2,3.94
05/13/2013,16,309.9,3.924999952
05/14/2013,18.7,319,4.024000168
05/15/2013,29.2,297.5,4.070000172
05/16/2013,28.7,221,3.931999922
05/17/2013,27.8,331.8,4.054999828
05/18/2013,19.8,211.2,4.06
05/19/2013,24.1,294.4,4.09
05/20/2013,27.1,272.4,4.090000153
05/21/2013,27.1,243.5,4.191999912
05/22/2013,29.2,275,4.18599987
05/23/2013,27.8,226.8,4.261000156
05/24/2013,19,191.5,4.236999989
05/25/2013,19.8,365.1,4.22
05/26/2013,23.1,365.5,4.2
05/27/2013,22,214.7,4.18
05/28/2013,28.9,301.8,4.173999786
05/29/2013,31.8,313.6,4.147999763
05/30/2013,31.9,320.2,4.022999763
05/31/2013,32,347.4,3.983999968
06/01/2013,32.8,344.3,4
06/02/2013,29.1,192.6,3.99
06/03/2013,27.8,161.1,3.990999937
06/04/2013,25.6,368.1,3.997999907
06/05/2013,26.7,342.8,4.000999928
06/06/2013,24.1,219.6,3.826999903
06/07/2013,22.7,117.5,3.828000069
06/08/2013,27,312.7,3.82
06/09/2013,27.8,231.9,3.8
06/10/2013,26.8,121.1,3.799999952
06/11/2013,28.9,306.3,3.723999977
06/12/2013,32,313.1,3.77699995
06/13/2013,31.8,199.1,3.813999891
06/14/2013,26.7,339,3.73300004
06/15/2013,29,354.9,3.8
06/16/2013,29.2,281.5,3.84
06/17/2013,29.2,247.6,3.875
06/18/2013,25.6,107.6,3.904999971
06/19/2013,25.6,231.4,3.963000059
06/20/2013,26,353.1,3.877000093
06/21/2013,28,363.8,3.770999908
06/22/2013,30,327.2,3.77
06/23/2013,28.9,190.9,3.75
06/24/2013,31.8,248.7,3.739000082
06/25/2013,33.8,317.7,3.647000074
06/26/2013,33,290.1,3.707000017
06/27/2013,28.8,278.3,3.582000017
06/28/2013,30.8,309.8,3.565000057
06/29/2013,30.8,332.2,3.58
06/30/2013,30.7,193.7,3.59
07/01/2013,28.9,147.7,3.576999903
07/02/2013,27.9,167.6,3.654000044
07/03/2013,30.7,187.7,3.690000057
07/04/2013,31.8,349.3,3.65
07/05/2013,31.8,328.3,3.617000103
07/06/2013,33.1,332.6,3.66
07/07/2013,32.8,318.9,3.69
07/08/2013,30.7,265.3,3.740999937
07/09/2013,29.1,164.5,3.657000065
07/10/2013,31.8,224.8,3.680000067
07/11/2013,29.9,197.7,3.612999916
07/12/2013,25.5,123.5,3.644000053
07/13/2013,29.1,296.6,3.65
07/14/2013,31.8,326.3,3.66
07/15/2013,35,338.6,3.674000025
07/16/2013,35,245.8,3.677000046
07/17/2013,34.9,323.3,3.628999949
07/18/2013,34.2,176.4,3.812000036
07/19/2013,34.2,218.6,3.789000034
07/20/2013,34.2,169.8,3.75
07/21/2013,33.1,202.1,3.72
07/22/2013,31,239.7,3.677000046
07/23/2013,31.6,278.8,3.743000031
07/24/2013,29.1,157.9,3.697999954
07/25/2013,27,202.3,3.644000053
07/26/2013,28.1,335,3.555000067
07/27/2013,30,268.7,3.53
07/28/2013,28.2,189.7,3.5
07/29/2013,28.1,337.4,3.459000111
07/30/2013,28.8,317.1,3.431999922
07/31/2013,26.9,191.8,3.446000099
08/01/2013,28,217.5,3.387000084
08/02/2013,30.7,311.6,3.346999884
08/03/2013,27.1,190.3,3.34
08/04/2013,28,325.5,3.33
08/05/2013,27.8,306.1,3.319000006
08/06/2013,22.8,159.9,3.318000078
08/07/2013,29,185,3.246999979
08/08/2013,30.6,147.3,3.296999931
08/09/2013,33.8,141.7,3.230000019
08/10/2013,28.4,190.7,3.27
08/11/2013,29,225,3.29
08/12/2013,32.6,278.2,3.309999943
08/13/2013,30.5,197.2,3.285000086
08/14/2013,24.9,306.4,3.342000008
08/15/2013,26.7,310.6,3.41899991
08/16/2013,26.6,240.1,3.368000031
08/17/2013,26.6,177.6,3.41
08/18/2013,22.9,113.3,3.43
08/19/2013,23.5,120.9,3.463000059
08/20/2013,30.7,250.3,3.444000006
08/21/2013,31.1,229.6,3.460000038
08/22/2013,31.7,222,3.545000076
08/23/2013,25.9,121.9,3.484999895
08/24/2013,28.7,279.3,3.5
08/25/2013,27.9,292.5,3.51
08/26/2013,31.7,280.9,3.513000011
08/27/2013,33.9,205.6,3.53399992
