Date,Fitting,True_value
01/01/2013,70.66,70.66
01/02/2013,75.96,75.53
01/03/2013,75.88,75.68
01/04/2013,74.98,74.95
01/05/2013,75.26,75.22
01/06/2013,75.45,75.42
01/07/2013,75.72,75.68
01/08/2013,75.09,75.12
01/09/2013,74.77,74.81
01/10/2013,75.03,75.03
01/11/2013,75.66,75.61
01/12/2013,75.59,75.57
01/13/2013,75.58,75.57
01/14/2013,75.51,75.51
01/15/2013,76.23,76.18
01/16/2013,77.27,77.17
01/17/2013,77.91,77.81
01/18/2013,78.84,78.72
01/19/2013,78.76,78.71
01/20/2013,78.74,78.72
01/21/2013,79.42,79.36
01/22/2013,80.04,79.96
01/23/2013,80.55,80.47
01/24/2013,82.53,82.34
01/25/2013,80.72,80.76
01/26/2013,81.06,81.06
01/27/2013,81.25,81.23
01/28/2013,81.35,81.33
01/29/2013,82.53,82.43
01/30/2013,83.12,83.03
01/31/2013,83.07,83.03
02/01/2013,83.06,83.04
02/02/2013,82.53,82.56
02/03/2013,82.06,82.11
02/04/2013,81.55,81.61
02/05/2013,81.78,81.79
02/06/2013,81.96,81.95
02/07/2013,81.4,81.44
02/08/2013,82.83,82.74
02/09/2013,82.73,82.69
02/10/2013,82.76,82.74
02/11/2013,82.91,82.89
02/12/2013,81.52,81.61
02/13/2013,81.03,81.11
02/14/2013,80.93,80.98
02/15/2013,81.27,81.27
02/16/2013,82.1,82.04
02/17/2013,82.86,82.77
02/18/2013,83.6,83.5
02/19/2013,84.4,84.29
02/20/2013,84.54,84.48
02/21/2013,83.03,83.11
02/22/2013,82.91,82.96
02/23/2013,82.51,82.56
02/24/2013,82.13,82.18
02/25/2013,81.67,81.73
02/26/2013,81.88,81.89
02/27/2013,84.75,84.54
02/28/2013,85.33,85.18
03/01/2013,85.62,85.53
03/02/2013,85.91,85.84
03/03/2013,86.21,86.15
03/04/2013,86.5,86.45
03/05/2013,87.08,87.01
03/06/2013,87.38,87.32
03/07/2013,86.22,86.28
03/08/2013,86.79,86.78
03/09/2013,86.82,86.81
03/10/2013,86.88,86.87
03/11/2013,86.9,86.89
03/12/2013,87.37,87.33
03/13/2013,88.64,88.53
03/14/2013,91.18,90.93
03/15/2013,92.82,92.57
03/16/2013,91.92,91.87
03/17/2013,91.32,91.34
03/18/2013,90.72,90.77
03/19/2013,91.04,91.04
03/20/2013,88.91,89.07
03/21/2013,88.16,88.29
03/22/2013,86.96,87.11
03/23/2013,86.97,87.04
03/24/2013,86.84,86.89
03/25/2013,86.59,86.63
03/26/2013,87.92,87.84
03/27/2013,88.65,88.56
03/28/2013,88.42,88.39
03/29/2013,88.13,88.14
03/30/2013,87.87,87.89
03/31/2013,87.62,87.65
04/01/2013,87.25,87.29
04/02/2013,88.65,88.57
04/03/2013,89.19,89.11
04/04/2013,88.11,88.15
04/05/2013,86.58,86.71
04/06/2013,86.19,86.28
04/07/2013,85.69,85.77
04/08/2013,85.18,85.26
04/09/2013,84.56,84.64
04/10/2013,85.49,85.46
04/11/2013,84.59,84.64
04/12/2013,86.07,85.99
04/13/2013,85.28,85.3
04/14/2013,84.7,84.75
04/15/2013,84.14,84.21
04/16/2013,83.26,83.36
04/17/2013,84.62,84.57
04/18/2013,83.4,83.46
04/19/2013,83.3,83.34
04/20/2013,84.28,84.23
04/21/2013,85.13,85.04
04/22/2013,86.14,86.02
04/23/2013,84.84,84.88
04/24/2013,82.82,82.99
04/25/2013,83.38,83.42
04/26/2013,84.37,84.32
04/27/2013,84.92,84.85
04/28/2013,85.47,85.4
04/29/2013,85.96,85.89
04/30/2013,87.7,87.53
05/01/2013,83.72,83.93
05/02/2013,85.7,85.66
05/03/2013,86.35,86.28
05/04/2013,86.69,86.63
05/05/2013,87.06,87
05/06/2013,87.48,87.42
05/07/2013,87.13,87.13
05/08/2013,87.76,87.71
05/09/2013,87.74,87.72
05/10/2013,86.57,86.65
05/11/2013,86.48,86.52
05/12/2013,86.29,86.33
05/13/2013,86.03,86.07
05/14/2013,86.86,86.82
05/15/2013,86.48,86.49
05/16/2013,86.11,86.14
05/17/2013,86.35,86.35
05/18/2013,86.09,86.11
05/19/2013,85.86,85.89
05/20/2013,85.79,85.81
05/21/2013,83.81,83.96
05/22/2013,83.33,83.44
05/23/2013,81.49,81.68
05/24/2013,81.48,81.57
05/25/2013,81.51,81.55
05/26/2013,81.49,81.51
05/27/2013,81.47,81.48
05/28/2013,81.5,81.5
05/29/2013,80.65,80.71
05/30/2013,80.31,80.37
05/31/2013,79.28,79.38
06/01/2013,80.54,80.5
06/02/2013,81.56,81.46
06/03/2013,82.47,82.35
06/04/2013,84.61,84.39
06/05/2013,83.37,83.35
06/06/2013,84.91,84.79
06/07/2013,84.8,84.75
06/08/2013,85.53,85.45
06/09/2013,86.19,86.1
06/10/2013,86.78,86.69
06/11/2013,88.27,88.11
06/12/2013,90.31,90.08
06/13/2013,91.99,91.75
06/14/2013,90.13,90.15
06/15/2013,89.56,89.61
06/16/2013,88.95,89.02
06/17/2013,88.42,88.49
06/18/2013,86.81,86.96
06/19/2013,86.58,86.67
06/20/2013,85.23,85.37
06/21/2013,84.41,84.54
06/22/2013,84.07,84.16
06/23/2013,83.68,83.75
06/24/2013,83.1,83.18
06/25/2013,84.9,84.8
06/26/2013,84.04,84.06
06/27/2013,83.99,84
06/28/2013,84.34,84.32
06/29/2013,84.74,84.7
06/30/2013,85.13,85.08
07/01/2013,85.59,85.53
07/02/2013,84.86,84.89
07/03/2013,85.45,85.42
07/04/2013,85.43,85.42
07/05/2013,85.16,85.17
07/06/2013,85.25,85.25
07/07/2013,85.31,85.31
07/08/2013,85.33,85.33
07/09/2013,85.77,85.74
07/10/2013,86.71,86.62
07/11/2013,84.82,84.92
07/12/2013,85.04,85.07
07/13/2013,85.04,85.06
07/14/2013,85.05,85.06
07/15/2013,85.1,85.1
07/16/2013,84.48,84.53
07/17/2013,83.66,83.74
07/18/2013,84.76,84.72
07/19/2013,86.07,85.95
07/20/2013,86.04,85.98
07/21/2013,86.13,86.1
07/22/2013,86.29,86.26
07/23/2013,85.87,85.89
07/24/2013,85.81,85.82
07/25/2013,85.95,85.95
07/26/2013,85.06,85.12
07/27/2013,85,85.04
07/28/2013,84.88,84.91
07/29/2013,84.71,84.74
07/30/2013,85.08,85.07
07/31/2013,85.18,85.17
08/01/2013,85.46,85.43
08/02/2013,85.06,85.08
08/03/2013,85.12,85.12
08/04/2013,85.14,85.14
08/05/2013,85.1,85.1
08/06/2013,85.75,85.7
08/07/2013,88.33,88.11
08/08/2013,89.49,89.29
08/09/2013,88.91,88.86
08/10/2013,89.46,89.39
08/11/2013,89.93,89.86
08/12/2013,90.36,90.29
08/13/2013,91.51,91.39
08/14/2013,91.4,91.35
08/15/2013,91.79,91.74
08/16/2013,93.03,92.91
08/17/2013,92.72,92.68
08/18/2013,92.57,92.56
08/19/2013,92.77,92.75
08/20/2013,88.57,88.87
08/21/2013,83.49,84
08/22/2013,84.07,84.28
08/23/2013,84.08,84.18
08/24/2013,84.3,84.33
08/25/2013,84.47,84.47
08/26/2013,84.67,84.66
08/27/2013,84.07,84.11
08/28/2013,83.69,83.74
08/29/2013,83.28,83.33
08/30/2013,83.56,83.57
08/31/2013,83.35,83.37
09/01/2013,83.18,83.2
09/02/2013,83.01,83.03
09/03/2013,82.84,82.86
09/04/2013,82.68,82.7
09/05/2013,82.32,82.36
09/06/2013,83.23,83.18
09/07/2013,83.29,83.26
09/08/2013,83.41,83.39
09/09/2013,83.48,83.46
09/10/2013,84.46,84.38
09/11/2013,84.24,84.22
09/12/2013,84.79,84.74
09/13/2013,84.31,84.32
09/14/2013,84.27,84.28
09/15/2013,84.21,84.22
09/16/2013,84.12,84.13
09/17/2013,84.3,84.29
09/18/2013,85.59,85.49
09/19/2013,84.62,84.64
09/20/2013,84.56,84.58
09/21/2013,84.44,84.46
09/22/2013,84.33,84.35
09/23/2013,84.17,84.19
09/24/2013,84.58,84.56
09/25/2013,84.66,84.64
09/26/2013,85.62,85.54
09/27/2013,86.77,86.64
09/28/2013,86.78,86.72
09/29/2013,86.92,86.88
09/30/2013,87.13,87.09
10/01/2013,86.46,86.49
10/02/2013,86.95,86.93
10/03/2013,87.62,87.56
10/04/2013,86.85,86.88
10/05/2013,85.81,85.9
10/06/2013,84.83,84.95
10/07/2013,83.81,83.94
10/08/2013,83.56,83.64
10/09/2013,83.36,83.42
